tmdb_id,imdb_id,title,release_year,release_date,budget_raw,gross_raw,budget_2025,gross_2025,cpi_gross_year,cpi_budget_year,roi,log_roi,runtime_min,genres,certification,original_language,popularity,vote_average,vote_count,production_cos,tagline,overview,poster_file,script_file,roi_2025,log_roi_2025
274167.0,tt1528854,Daddy's Home,2015.0,2015-12-25,50000000.0,242786137.0,67553865.65,327607622.84,237.0,236.7,3.85572274,1.5801579557515193,96.0,Comedy,PG-13,en,5.3773,6.296,3424.0,Paramount Pictures|Gary Sanchez Productions|Red Granite Pictures,Choose your Daddy,"The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/274167.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WorldsGreatestBrad.txt,3.849576255744588,1.578891331182846
245142.0,tt2106749,The Warning,2012.0,2012-12-21,500000.0,500000.0,710982.66,696428.57,229.6,224.9,0.0,0.0,79.0,Horror,,en,0.3539,3.6,15.0,Press On Features|Templeheart Films|Agresywna Banda,,"We were warned in an ancient Mayan prophecy that the 21st December 2012 would be the beginning of the end, but not how and where this new era would unveil itself. Until now.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/245142.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/Ward8.txt,-0.0204703867180109,-0.0206828089948381
65086.0,tt1596365,The Woman in Black,2012.0,2012-02-03,32000000.0,129000000.0,45502890.17,179678571.43,229.6,224.9,3.03125,1.3940765015619456,95.0,Drama|Horror|Thriller,PG-13,en,3.8881,6.141,3653.0,Hammer Film Productions|Alliance Films|Talisman Films|UK Film Council,What did they see?,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/65086.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WomanInBlack.txt,2.948728767748952,1.3733936961647042
533535.0,tt6263850,Deadpool & Wolverine,2024.0,2024-07-24,200000000.0,1338073645.0,209911388.25,1361922188.64,314.2,304.7,5.690368225,1.90066891373156,128.0,Action|Comedy|Science Fiction,R,en,33.0219,7.557,8548.0,Marvel Studios|Maximum Effort|21 Laps Entertainment|20th Century Studios|Kevin Feige Productions|TSG Entertainment,Come together.,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/533535.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/Wolverine.txt,5.488081470920386,1.869966873904491
37958.0,tt1253864,Immortals,2011.0,2011-11-10,75000000.0,226904017.0,109972489.68,322649642.67,224.9,218.1,2.025386893333333,1.1070389819270627,110.0,Fantasy|Action|Drama,R,en,7.4607,6.044,2794.0,Relativity Media|Virgin Produced|Hollywood Gang Productions|Atmosphere Entertainment MM|Mandate International|Rogue Pictures,The Gods need a hero.,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/37958.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WarOfTheGods.txt,1.933912323062358,1.0763367962007844
252512.0,tt1791682,While We're Young,2015.0,2015-03-27,10000000.0,17287309.0,13510773.13,23326925.82,237.0,236.7,0.7287309,0.5473875554903879,97.0,Comedy|Drama,R,en,1.4032,6.007,1188.0,Scott Rudin Productions|IAC Films,Life never gets old.,An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple.,/content/gdrive/Shareddrives/FML_FINAL/Data/posters/252512.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WhileWereYoung.txt,0.7265426334636409,0.5461209311217374
82690.0,tt1772341,Wreck-It Ralph,2012.0,2012-11-01,165000000.0,471222889.0,234624277.46,656346166.82,229.6,224.9,1.855896296969697,1.0493857332332528,101.0,Family|Animation|Comedy|Adventure,PG,en,13.0232,7.356,13029.0,Walt Disney Animation Studios,"When the game is over, the fun begins.","Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/82690.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WreckItRalph.txt,1.7974350051302657,1.0287029277366455
265195.0,tt3011894,Wild Tales,2014.0,2014-08-21,4000000.0,31478893.0,5490128.76,42530418.17,236.7,233.0,6.86972325,2.0630228966267583,122.0,Drama|Thriller|Comedy,R,es,5.0098,7.861,3733.0,El Deseo|K & S Films|Telefe|Corner Producciones,We can all lose control,"Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/265195.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/WildTales.txt,6.746706867763882,2.047267832772516
246655.0,tt3385516,X-Men: Apocalypse,2016.0,2016-05-18,178000000.0,543934787.0,240187341.77,724793103.68,240.0,237.0,2.05581341011236,1.1170458125398195,144.0,Science Fiction|Fantasy|Action,PG-13,en,10.5568,6.522,13731.0,The Donners' Company|Bad Hat Harry Productions|Genre Films|Hutch Parker Entertainment|20th Century Fox|Marvel Entertainment|TSG Entertainment,Only the strong will survive.,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/246655.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/X-Men.txt,2.017615742523399,1.104467030345368
1287322.0,tt32323252,Christy,2025.0,2025-11-06,15000000.0,1310888.0,15267345.64,1310888.0,319.8,314.2,-0.9126074666666668,-2.437345430938807,134.0,History|Drama,R,en,5.6083,7.157,159.0,Anonymous Content|Yoki|Votiv Films|Fifty-Fifty Films|Black Bear Pictures,What does it take to become a legend?,"Christy Martin never imagined life beyond her small-town roots in West Virginia—until she discovered a knack for punching people. Fueled by grit, raw determination, and an unshakable desire to win, she charges into the world of boxing under the guidance of her trainer and manager-turned-husband, Jim. But while Christy flaunts a fiery persona in the ring, her toughest battles unfold outside it—confronting family, identity, and a relationship that just might become life-or-death.",/content/gdrive/Shareddrives/FML_FINAL/Data/posters/1287322.jpg,/content/gdrive/Shareddrives/FML_FINAL/Data/Anyis_Script/Movie-Script-Database/scripts/filtered/Christy.txt,-0.914137792455192,-2.455011505535485
